Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.769869905,5.614859816,3.822335117,5.300314058,6.287975361,3.375837491,3.259486423,3.704237753,6.592950502,2.190060661,1.036100803,5.62905761,4.434688133,3.049046201,2.809909709,5.06749723,3.484346195,5.166892969,4.262449002,1.703280448,-1.223406551,4.005674214,0.184032701,-1.995948495,3.95889741,6.831286936,-1.002799697,-3.178166798,3.477546644,6.094207494,-0.871324636,-4.99016808,3.412842252,
,AFE,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.77453603,6.125522037,11.65523822,11.27143206,10.91277355,7.199751293,22.5277562,2.09628875,-2.163404427,3.814630315,16.59334674,7.301756468,4.822785479,0.566944543,2.447563001,-2.197526467,2.403656188,2.071348578,6.521479848,6.962946255,2.838996251,9.406239339,
,AFW,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00743983,106.3099823,476.5157509,917.7834684,2175.978955,1825.495149,4800.531644,95.45302218,39.35934833,557.5011131,418.0189915,106.3521255,142.4782,93.92656691,33.44359479,42.37424926,17.11566514,4.308432212,19.36577356,-16.76214029,32.27046912,31.77146016,7.255749909,2.839724126,3.560884772,-3.518385346,21.77431256,22.61443652,28.16709326,19.18700383,10.76310528,38.82372184,13.70984752,17.64775693
Albania,ALB,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.431368813,35.51424696,232.9846589,125.6508142,35.84247521,9.838901278,14.60100063,11.23964448,6.730859905,2.102849989,5.647471468,3.810857374,3.647476271,5.198635303,3.152368925,3.306818147,2.478188887,4.386709383,4.117085426,2.418336059,4.4931432,2.314743797,1.042714606,0.288745964,1.54991707,0.56399135,-0.632653419,1.450731581,1.472953487,1.257024829,0.696542442,3.45443199,9.866013431,4.553082811
Andorra,AND,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.326243658,6.935148362,6.710768961,4.537232147,3.879858322,4.933121049,0.797177729,2.228160307,1.499553843,2.731979525,28.7415529,3.080535179,3.23953177,3.177484216,3.042423998,3.39610213,3.457184087,3.211227341,2.27433832,0.132136132,0.374313758,0.196764152,0.174556906,0.4484922,-0.084019317,0.660588959,0.347795382,1.136509343,1.01247848,1.374753508,1.113786074,2.559556526,4.235990229,5.859905503
El mundo árabe,ARB,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiratos Árabes Unidos,ARE,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.335900494,0.810848723,1.806826123,1.278036311,-0.262474925,3.907479758,5.773043899,-0.952300713,-4.254445315,8.44337746,11.45953579,-2.349307678,3.770839548,4.072406797,8.501422059,16.52630693,11.96214929,12.53396067,18.53335308,-15.18297989,16.52788636,13.16721937,4.679725126,-0.949325325,-0.668049356,-16.26700603,-5.529478613,4.986213144,7.936748033,-3.194409404,-12.0313053,13.84377034,13.24153718,-3.843093552
Argentina,ARG,"Inflación, deflactor del PIB: series vinculadas (% anual)",NY.GDP.DEFL.KD.ZG.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2078.316818,140.5023787,16.07199354,-3.561095576,2.849339715,3.16512339,-0.052375497,-0.463913131,-1.705279624,-1.836558392,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,41.11937999,26.00637928,42.03366896,49.19557906,40.0830878,53.8404499,69.47123955,133.8398673
